State,year,tot_n_FI,FI_rate_black,FI_rate_hispanic,FI_rate_white
AL,2021.00,108230.00,0.28000,0.10000,0.10000
AL,2021.00,107990.00,0.27000,0.13000,0.11000
AL,2021.00,117330.00,0.25000,0.14000,0.11000
AL,2021.00,115370.00,0.28000,0.12000,0.11000
AL,2021.00,98560.00,0.25000,0.12000,0.09000
AL,2021.00,85870.00,0.21000,0.10000,0.08000
AL,2021.00,113200.00,0.28000,0.12000,0.12000
AK,2021.00,78260.00,0.19000,0.13000,0.08000
AZ,2021.00,96960.00,0.19000,0.14000,0.09000
AZ,2021.00,85680.00,0.20000,0.14000,0.09000
AZ,2021.00,93530.00,0.17000,0.14000,0.10000
AZ,2021.00,88370.00,0.14000,0.13000,0.09000
AZ,2021.00,60460.00,0.14000,0.10000,0.06000
AZ,2021.00,72830.00,0.21000,0.13000,0.07000
AZ,2021.00,100990.00,0.23000,0.15000,0.12000
AZ,2021.00,68490.00,0.14000,0.12000,0.07000
AZ,2021.00,84380.00,0.24000,0.14000,0.09000
AR,2021.00,130910.00,0.29000,0.19000,0.15000
AR,2021.00,110370.00,0.23000,0.17000,0.12000
AR,2021.00,116470.00,0.25000,0.15000,0.13000
AR,2021.00,109800.00,0.24000,0.17000,0.14000
CA,2021.00,91180.00,0.24000,0.15000,0.08000
CA,2021.00,77560.00,0.19000,0.13000,0.06000
CA,2021.00,77500.00,0.13000,0.12000,0.07000
CA,2021.00,65490.00,0.08000,0.12000,0.05000
CA,2021.00,70340.00,0.16000,0.11000,0.06000
CA,2021.00,93040.00,0.21000,0.14000,0.08000
CA,2021.00,71670.00,0.17000,0.12000,0.05000
CA,2021.00,93940.00,0.24000,0.15000,0.09000
CA,2021.00,86480.00,0.17000,0.13000,0.06000
CA,2021.00,76110.00,0.13000,0.13000,0.07000
CA,2021.00,66540.00,0.16000,0.12000,0.03000
CA,2021.00,90190.00,0.25000,0.13000,0.06000
CA,2021.00,81430.00,0.19000,0.12000,0.05000
CA,2021.00,61760.00,0.12000,0.10000,0.03000
CA,2021.00,52970.00,0.14000,0.09000,0.03000
CA,2021.00,129090.00,0.28000,0.18000,0.11000
CA,2021.00,61750.00,0.16000,0.10000,0.04000
CA,2021.00,51370.00,0.16000,0.10000,0.02000
CA,2021.00,58700.00,0.12000,0.10000,0.03000
CA,2021.00,67500.00,0.13000,0.12000,0.06000
CA,2021.00,104060.00,0.25000,0.16000,0.09000
CA,2021.00,91220.00,0.18000,0.15000,0.07000
CA,2021.00,89320.00,0.22000,0.15000,0.09000
CA,2021.00,80030.00,0.19000,0.13000,0.07000
CA,2021.00,60590.00,0.20000,0.12000,0.05000
CA,2021.00,62310.00,0.13000,0.12000,0.05000
CA,2021.00,71630.00,0.14000,0.11000,0.05000
